datetime,x1,x2,f1,pid,host,time
2023-05-24 01:25:14.226345,7.88793552,19772.673,64.4799385,11703.0,gra135,2023-05-24 01:25:14.226345
2023-05-24 01:25:16.466981,9.71139991,71318.764,78.6278243,11703.0,gra135,2023-05-24 01:25:16.466981
2023-05-24 01:25:18.673080,6.47632114,32745.1599,45.854062,11703.0,gra135,2023-05-24 01:25:18.673080
2023-05-24 01:25:21.007774,2.56320203,51853.8175,13.7689814,11703.0,gra135,2023-05-24 01:25:21.007774
2023-05-24 01:25:23.618809,7.91152379,2373.37785,65.7206778,11703.0,gra135,2023-05-24 01:25:23.618809
2023-05-24 01:25:25.801144,1.57383111,34653.4935,23.9530951,11703.0,gra135,2023-05-24 01:25:25.801144
2023-05-24 01:25:27.945206,9.09883143,14579.3941,77.4864701,11703.0,gra135,2023-05-24 01:25:27.945206
2023-05-24 01:25:30.204686,9.93919227,31714.9517,85.0248716,11703.0,gra135,2023-05-24 01:25:30.204686
2023-05-24 01:25:32.402780,8.95639272,77128.9139,69.4336265,11703.0,gra135,2023-05-24 01:25:32.402780
2023-05-24 01:25:34.675074,9.7957497,83198.7446,78.5630128,11703.0,gra135,2023-05-24 01:25:34.675074
2023-05-24 01:25:36.886191,5.06109814,97092.8479,29.7136411,11703.0,gra135,2023-05-24 01:25:36.886191
2023-05-24 01:25:39.046180,2.20779184,21202.889,7.67514522,11703.0,gra135,2023-05-24 01:25:39.046180
2023-05-24 01:25:41.182560,6.77489734,46145.1522,47.1718646,11703.0,gra135,2023-05-24 01:25:41.182560
2023-05-24 01:25:43.436659,4.35062571,42372.3585,1.97996671,11703.0,gra135,2023-05-24 01:25:43.436659
2023-05-24 01:25:45.597065,5.99324239,4719.73384,46.5365568,11703.0,gra135,2023-05-24 01:25:45.597065
2023-05-24 01:25:47.834953,7.79999174,57792.0709,57.8843905,11703.0,gra135,2023-05-24 01:25:47.834953
2023-05-24 01:25:50.084849,1.86415848,11570.0592,8.90463602,11703.0,gra135,2023-05-24 01:25:50.084849
2023-05-24 01:25:52.319286,3.57003453,84074.8764,22.5747327,11703.0,gra135,2023-05-24 01:25:52.319286
2023-05-24 01:25:54.492846,7.0009561,1933.63969,56.615001,11703.0,gra135,2023-05-24 01:25:54.492846
2023-05-24 01:25:56.832903,2.1593865,32386.9903,14.0527241,11703.0,gra135,2023-05-24 01:25:56.832903
2023-05-24 01:25:59.072589,0.986721758,88947.3012,50.2451099,11703.0,gra135,2023-05-24 01:25:59.072589
2023-05-24 01:26:01.258761,5.47545651,7659.47213,40.7254225,11703.0,gra135,2023-05-24 01:26:01.258761
2023-05-24 01:26:03.497416,7.5578443,79673.4468,53.0967608,11703.0,gra135,2023-05-24 01:26:03.497416
2023-05-24 01:26:05.722256,9.03301242,24155.4956,76.1727034,11703.0,gra135,2023-05-24 01:26:05.722256
2023-05-24 01:26:07.960576,5.41467899,32195.5157,32.8346355,11703.0,gra135,2023-05-24 01:26:07.960576
2023-05-24 01:26:10.162989,7.08048854,38658.2123,52.0333586,11703.0,gra135,2023-05-24 01:26:10.162989
2023-05-24 01:26:12.448251,9.03359811,93223.6327,69.0639191,11703.0,gra135,2023-05-24 01:26:12.448251
2023-05-24 01:26:14.682132,7.72259684,12697.192,63.5628956,11703.0,gra135,2023-05-24 01:26:14.682132
2023-05-24 01:26:16.745503,6.50412428,10120.8108,51.1904521,11703.0,gra135,2023-05-24 01:26:16.745503
2023-05-24 01:26:18.923060,6.24108047,82705.9268,3.86591489,11703.0,gra135,2023-05-24 01:26:18.923060
2023-05-24 01:26:21.058941,4.50557203,2279.52484,31.6602847,11703.0,gra135,2023-05-24 01:26:21.058941
2023-05-24 01:26:23.257246,7.26171237,18525.4081,57.8815061,11703.0,gra135,2023-05-24 01:26:23.257246
2023-05-24 01:26:25.439803,8.52376265,92958.484,63.2545833,11703.0,gra135,2023-05-24 01:26:25.439803
2023-05-24 01:26:26.562362,6.4702326,158.342241,10000.0,11703.0,gra135,2023-05-24 01:26:26.562362
2023-05-24 01:26:28.773935,9.05969133,89902.9169,69.6107049,11703.0,gra135,2023-05-24 01:26:28.773935
2023-05-24 01:26:30.918851,5.45773745,72014.1428,3.09603657,11703.0,gra135,2023-05-24 01:26:30.918851
2023-05-24 01:26:32.989719,9.81062535,67268.7489,80.1253234,11703.0,gra135,2023-05-24 01:26:32.989719
